Customer_ID,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance
738,Female,Loyal,73,Business,Economy,4092
740,Female,Loyal,12,Personal,Economy,3747
745,Female,Loyal,45,Business,Business,3945
746,Male,Loyal,73,Personal,Economy,2316
747,Female,Disloyal,74,Personal,Economy,4077
748,Male,Loyal,27,Personal,Economy,2356
753,Female,Loyal,59,Business,Economy Plus,966
761,Male,Disloyal,82,Personal,Economy,1911
762,Female,Loyal,60,Personal,Economy,3162
772,Female,Disloyal,26,Business,Economy,947
773,Male,Disloyal,8,Personal,Economy Plus,3604
783,Female,Loyal,69,Personal,Economy,621
788,Male,Loyal,57,Personal,Economy,1569
790,Female,Loyal,20,Personal,Economy,1255
792,Male,Loyal,64,Personal,Economy Plus,495
793,Female,Loyal,73,Personal,Economy,3877
796,Male,Loyal,26,Personal,Economy,122
797,Female,Disloyal,10,Personal,Economy Plus,822
803,Male,Disloyal,44,Personal,Economy,2627
814,Female,Disloyal,26,Personal,Economy,4977
818,Female,Loyal,65,Personal,Business,3802
822,Female,Loyal,57,Business,Economy,4339
824,Male,Disloyal,33,Personal,Economy,4011
833,Female,Loyal,12,Business,Economy Plus,673
835,Female,Loyal,72,Personal,Economy,4692
838,Male,Loyal,69,Personal,Economy Plus,4068
846,Male,Disloyal,58,Personal,Economy,1078
850,Female,Disloyal,33,Business,Economy,2609
851,Male,Loyal,49,Personal,Economy Plus,4227
853,Male,Loyal,38,Personal,Economy Plus,3989
865,Male,Disloyal,22,Personal,Business,4760
868,Female,Loyal,31,Personal,Economy,3421
869,Male,Loyal,70,Personal,Economy,2964
870,Male,Disloyal,12,Personal,Economy,4069
874,Male,Loyal,32,Personal,Economy Plus,915
897,Male,Loyal,7,Business,Economy Plus,4744
898,Male,Disloyal,54,Business,Economy,384
907,Female,Disloyal,49,Business,Economy,4576
908,Female,Loyal,10,Personal,Economy Plus,4202
909,Female,Loyal,16,Personal,Business,1679
914,Female,Disloyal,56,Personal,Economy,2591
917,Female,Disloyal,62,Personal,Business,3007
918,Male,Loyal,26,Personal,Economy,3725
920,Female,Disloyal,12,Personal,Economy,2225
927,Male,Loyal,11,Personal,Economy,1613
933,Female,Loyal,24,Personal,Economy Plus,956
941,Female,Disloyal,46,Personal,Economy,1552
942,Male,Loyal,49,Personal,Economy,2427
948,Female,Disloyal,26,Personal,Economy,2609
951,Male,Loyal,37,Personal,Business,773
958,Male,Loyal,35,Personal,Business,3766
961,Female,Loyal,50,Personal,Business,2487
972,Female,Loyal,16,Business,Economy,4019
984,Female,Loyal,30,Business,Economy Plus,2857
988,Female,Loyal,81,Personal,Economy Plus,3061
993,Female,Loyal,83,Business,Economy,3557
1003,Female,Loyal,59,Personal,Economy Plus,4358
1006,Male,Disloyal,27,Business,Business,1853
1008,Male,Loyal,53,Business,Business,3908
1014,Male,Loyal,47,Personal,Business,3203
1017,Male,Loyal,46,Personal,Economy,1331
1026,Female,Loyal,14,Business,Business,4832
1030,Male,Loyal,17,Personal,Economy,2045
1033,Male,Loyal,19,Business,Economy,4484
1034,Male,Loyal,24,Personal,Economy Plus,446
1035,Male,Disloyal,62,Personal,Economy Plus,2631
1043,Female,Loyal,65,Personal,Economy Plus,4982
1047,Male,Disloyal,84,Personal,Economy,4351
1053,Male,Loyal,68,Business,Economy,1323
1056,Male,Loyal,61,Personal,Economy,2271
1061,Male,Disloyal,36,Personal,Business,3364
1062,Male,Loyal,66,Personal,Economy,4678
1072,Female,Loyal,36,Business,Economy,3610
1073,Male,Disloyal,32,Business,Economy Plus,4778
1076,Male,Disloyal,18,Business,Economy,2015
1090,Male,Loyal,60,Personal,Economy,4162
1093,Female,Disloyal,25,Personal,Economy,89
1097,Female,Loyal,35,Business,Economy,370
1099,Female,Loyal,18,Business,Business,1545
1112,Male,Disloyal,9,Business,Economy,325
1117,Male,Loyal,70,Personal,Economy Plus,4496
1118,Female,Loyal,69,Personal,Economy,2176
1119,Male,Disloyal,20,Personal,Economy Plus,456
1124,Male,Loyal,17,Personal,Economy Plus,2848
1125,Male,Loyal,44,Personal,Economy Plus,1255
1137,Male,Loyal,32,Business,Business,895
1144,Male,Loyal,26,Personal,Economy Plus,342
1146,Male,Loyal,70,Personal,Business,361
1148,Female,Disloyal,55,Personal,Economy,3965
1149,Male,Loyal,26,Business,Economy,1583
1162,Male,Loyal,62,Personal,Economy,2500
1165,Female,Disloyal,10,Business,Economy Plus,2882
1166,Female,Disloyal,47,Business,Economy,2925
1178,Female,Loyal,58,Personal,Economy,521
1179,Female,Disloyal,10,Personal,Economy,143
1185,Male,Loyal,65,Personal,Economy,524
1186,Female,Loyal,31,Business,Business,629
1193,Male,Loyal,83,Personal,Business,223
1199,Female,Loyal,54,Business,Economy,3713
1200,Male,Loyal,85,Business,Economy,2216
1204,Female,Disloyal,24,Personal,Business,32
1205,Male,Loyal,62,Personal,Economy,2261
1206,Female,Disloyal,85,Business,Economy,182
1227,Female,Loyal,68,Business,Economy Plus,4165
1232,Male,Loyal,84,Personal,Economy Plus,2959
1241,Female,Loyal,54,Personal,Economy,3000
1242,Female,Loyal,74,Business,Economy Plus,1635
1243,Male,Loyal,9,Business,Economy,2944
1249,Male,Loyal,61,Personal,Economy,1531
1252,Female,Loyal,34,Personal,Economy,4474
1256,Male,Loyal,7,Business,Business,3331
1262,Male,Disloyal,68,Personal,Economy,4666
1268,Male,Disloyal,74,Business,Economy,1597
1274,Male,Loyal,61,Personal,Economy Plus,300
1281,Female,Loyal,11,Personal,Economy,4513
1282,Female,Loyal,81,Business,Economy,76
1284,Female,Loyal,21,Personal,Economy Plus,275
1285,Female,Loyal,82,Personal,Economy,3388
1290,Female,Loyal,10,Business,Economy Plus,2294
1292,Male,Loyal,82,Personal,Economy Plus,1394
1301,Male,Loyal,52,Business,Economy,865
1305,Male,Loyal,36,Personal,Economy,2013
1307,Male,Disloyal,51,Business,Economy,2672
1315,Female,Loyal,8,Personal,Economy,934
1316,Male,Disloyal,17,Personal,Economy Plus,2550
1318,Male,Loyal,71,Business,Economy,1667
1325,Female,Loyal,8,Personal,Economy,4283
1327,Male,Loyal,19,Personal,Economy,2885
1336,Male,Disloyal,28,Business,Economy,4142
1346,Female,Loyal,41,Personal,Economy,572
1356,Male,Loyal,15,Personal,Economy,1594
1358,Male,Loyal,81,Business,Economy,1398
1365,Male,Loyal,21,Personal,Economy,1352
1369,Male,Loyal,30,Business,Economy,321
1370,Male,Loyal,53,Business,Business,4979
1375,Male,Loyal,32,Personal,Economy Plus,295
1380,Female,Loyal,50,Personal,Economy,810
1381,Male,Disloyal,45,Business,Economy,3409
1384,Female,Loyal,35,Personal,Economy Plus,3925
1386,Female,Loyal,82,Business,Economy Plus,3213
1388,Male,Loyal,7,Personal,Economy Plus,703
1390,Male,Disloyal,39,Personal,Economy,3449
1405,Male,Loyal,63,Personal,Economy,1402
1415,Female,Loyal,31,Personal,Economy,4633
1416,Female,Loyal,69,Personal,Business,864
1424,Female,Loyal,32,Business,Economy,4785
1433,Female,Loyal,78,Personal,Economy Plus,3404
1434,Male,Loyal,16,Personal,Economy Plus,65
1437,Male,Loyal,56,Business,Economy,2574
1457,Female,Loyal,47,Personal,Business,4347
1458,Female,Disloyal,47,Personal,Economy,2608
1469,Male,Loyal,26,Business,Economy,1745
1480,Male,Loyal,14,Business,Economy,4592
1482,Male,Disloyal,39,Personal,Economy,1319
1486,Male,Loyal,44,Business,Economy,3377
1487,Male,Loyal,45,Business,Economy,411
1490,Male,Loyal,19,Personal,Economy,3089
1492,Female,Loyal,69,Personal,Economy,2575
1497,Female,Disloyal,31,Business,Economy Plus,1292
1498,Female,Loyal,11,Personal,Economy Plus,42
1507,Female,Loyal,26,Personal,Economy Plus,2185
1508,Female,Loyal,11,Personal,Economy,4975
1509,Male,Disloyal,28,Business,Economy Plus,2674
1513,Female,Loyal,33,Business,Economy,2127
1514,Female,Loyal,33,Personal,Economy,2576
1517,Male,Loyal,42,Business,Economy,522
1519,Male,Loyal,47,Personal,Economy,2490
1520,Male,Loyal,74,Personal,Economy Plus,2730
1522,Male,Loyal,72,Business,Business,1887
1526,Male,Disloyal,35,Business,Economy Plus,3019
1530,Male,Loyal,73,Business,Business,1307
1533,Female,Loyal,12,Personal,Economy Plus,465
1535,Male,Loyal,14,Personal,Business,1873
1541,Female,Disloyal,31,Business,Business,2517
1542,Female,Disloyal,52,Business,Economy,3206
1548,Female,Loyal,57,Business,Economy Plus,341
1549,Female,Loyal,45,Personal,Economy,1165
1552,Male,Loyal,54,Personal,Economy,1027
1553,Female,Loyal,22,Personal,Economy,421
1558,Male,Loyal,71,Personal,Economy,1858
1560,Female,Loyal,12,Personal,Business,1922
1565,Female,Disloyal,63,Personal,Economy,2340
1566,Male,Loyal,70,Personal,Economy Plus,1950
1572,Female,Loyal,53,Personal,Business,3085
1576,Female,Loyal,65,Personal,Economy,2259
1589,Female,Loyal,12,Personal,Economy,2079
1591,Male,Loyal,72,Business,Economy,3167
1602,Female,Loyal,55,Personal,Economy,1202
1609,Male,Loyal,23,Personal,Economy Plus,736
1611,Female,Loyal,35,Personal,Economy Plus,961
1613,Female,Disloyal,26,Business,Economy,4461
1617,Female,Loyal,17,Business,Economy Plus,374
1621,Female,Disloyal,21,Personal,Economy,4262
1622,Male,Disloyal,16,Business,Economy Plus,2602
1628,Female,Loyal,47,Personal,Economy,717
1635,Male,Loyal,13,Personal,Economy,2173
1642,Male,Loyal,25,Business,Economy,738
1645,Male,Loyal,25,Business,Economy,62
1655,Female,Loyal,39,Business,Economy,1254
1657,Female,Loyal,47,Business,Economy,3476
1659,Female,Loyal,32,Personal,Economy,1273
1667,Male,Disloyal,24,Business,Economy,332
1678,Female,Loyal,63,Business,Economy Plus,4835
1686,Female,Disloyal,43,Personal,Economy,1998
1699,Female,Loyal,80,Business,Economy Plus,424
1703,Male,Loyal,40,Personal,Economy,3015
1743,Male,Loyal,73,Business,Economy,3462
1754,Female,Loyal,19,Personal,Economy,4787
1760,Female,Loyal,59,Personal,Economy Plus,4591
1763,Female,Loyal,53,Personal,Economy,1218
1769,Male,Loyal,17,Personal,Business,3021
1770,Male,Loyal,72,Business,Economy,3109
1796,Male,Loyal,28,Personal,Economy Plus,4786
1797,Male,Loyal,28,Business,Economy,671
1799,Male,Loyal,76,Business,Economy,2116
1803,Female,Disloyal,79,Personal,Economy Plus,4757
1804,Female,Disloyal,77,Personal,Economy,3351
1805,Female,Disloyal,43,Business,Economy,2379
1807,Male,Loyal,28,Personal,Economy,2314
1813,Male,Loyal,63,Business,Business,1596
1814,Female,Loyal,75,Business,Economy,1840
1822,Female,Loyal,59,Personal,Economy,382
1831,Male,Loyal,50,Personal,Economy,2698
1839,Female,Loyal,78,Personal,Economy,3644
1847,Male,Loyal,58,Business,Economy,2773
1857,Female,Loyal,79,Business,Economy Plus,2067
1859,Male,Disloyal,38,Personal,Business,3909
1869,Female,Disloyal,16,Personal,Business,894
1872,Female,Disloyal,69,Business,Economy Plus,3016
1874,Female,Loyal,10,Personal,Economy,138
1878,Female,Loyal,54,Business,Business,1512
1879,Female,Loyal,24,Personal,Economy Plus,372
1881,Female,Loyal,47,Personal,Economy,3143
1885,Male,Loyal,33,Personal,Economy,4462
1886,Male,Disloyal,16,Personal,Economy,2313
1887,Male,Loyal,37,Personal,Economy,2969
1898,Female,Loyal,36,Personal,Economy,199
1901,Female,Loyal,32,Personal,Economy Plus,674
1903,Female,Loyal,71,Personal,Economy,421
1905,Female,Disloyal,13,Business,Business,3491
1908,Male,Loyal,33,Personal,Economy,3126
1909,Male,Loyal,58,Personal,Business,4238
1910,Female,Loyal,43,Personal,Economy,722
1919,Female,Loyal,46,Business,Business,4512
1926,Female,Disloyal,72,Personal,Economy,4407
1929,Male,Loyal,33,Business,Economy,1849
1934,Male,Disloyal,46,Business,Economy Plus,3719
1942,Female,Loyal,37,Personal,Economy,3925
1947,Female,Disloyal,26,Personal,Business,1595
1950,Male,Loyal,34,Business,Economy,4126
1959,Female,Loyal,64,Personal,Economy,53
1965,Male,Loyal,41,Business,Economy,3210
1968,Male,Loyal,79,Personal,Economy,1321
1974,Female,Disloyal,47,Personal,Economy,3956
1976,Female,Loyal,65,Personal,Economy,4822
1981,Male,Disloyal,59,Personal,Economy,4143
1984,Female,Loyal,26,Personal,Economy Plus,4289
1985,Male,Loyal,17,Personal,Economy,3278
1987,Male,Loyal,59,Personal,Economy,4658
1988,Female,Loyal,46,Personal,Economy,2513
1992,Female,Disloyal,34,Personal,Economy Plus,3617
2002,Female,Loyal,53,Personal,Economy,1612
2003,Female,Loyal,16,Business,Economy Plus,3393
2004,Female,Loyal,19,Personal,Economy,2809
2008,Male,Loyal,40,Personal,Economy,1019
2017,Female,Loyal,36,Personal,Economy,1234
2026,Female,Disloyal,13,Personal,Economy,4198
2033,Male,Loyal,39,Personal,Economy Plus,3788
2043,Female,Loyal,9,Business,Economy,465
2047,Female,Loyal,15,Personal,Economy,868
2049,Female,Disloyal,81,Personal,Business,1049
2056,Female,Loyal,58,Personal,Economy Plus,3369
2058,Male,Loyal,17,Personal,Economy,4585
2059,Male,Disloyal,59,Personal,Business,4560
2060,Male,Loyal,51,Personal,Economy,1526
2063,Female,Loyal,65,Personal,Economy,4046
2067,Male,Loyal,74,Personal,Economy,2576
2069,Female,Loyal,47,Business,Economy,2190
2072,Female,Disloyal,16,Personal,Economy,3571
2074,Female,Loyal,37,Personal,Economy,1310
2076,Male,Loyal,51,Personal,Economy,4537
2082,Female,Loyal,81,Personal,Economy,216
2095,Male,Loyal,38,Personal,Economy,4026
2096,Male,Loyal,63,Personal,Economy Plus,2299
2100,Female,Loyal,64,Business,Economy Plus,3673
2103,Male,Loyal,62,Personal,Economy,4743
2104,Male,Disloyal,71,Personal,Economy,1461
2126,Female,Loyal,54,Personal,Economy Plus,489
2134,Male,Loyal,34,Personal,Economy,4778
2136,Male,Loyal,14,Personal,Economy,4879
2138,Female,Loyal,59,Personal,Economy Plus,3914
2144,Male,Loyal,13,Personal,Economy,1336
2148,Male,Loyal,64,Personal,Economy,1207
2150,Male,Loyal,55,Personal,Business,3386
2153,Female,Loyal,33,Business,Economy,3124
2160,Male,Loyal,72,Personal,Business,1345
2161,Male,Loyal,52,Business,Economy,1424
2165,Female,Disloyal,50,Personal,Economy,4214
2167,Male,Loyal,50,Business,Economy,1674
2177,Male,Loyal,15,Personal,Business,153
2179,Female,Disloyal,7,Business,Business,4963
2180,Male,Loyal,80,Personal,Economy,557
2187,Female,Disloyal,46,Business,Economy,4062
2190,Female,Loyal,49,Personal,Economy,1916
2214,Female,Loyal,58,Business,Economy,2285
2220,Male,Loyal,36,Personal,Economy Plus,2922
2222,Female,Loyal,74,Personal,Economy,909
2229,Female,Loyal,52,Business,Economy,4834
2233,Female,Loyal,56,Personal,Business,3126
2235,Male,Loyal,34,Personal,Economy,4838
2238,Female,Loyal,24,Personal,Economy Plus,3793
2240,Male,Disloyal,47,Business,Economy,1301
2244,Male,Loyal,47,Personal,Economy,407
2247,Male,Loyal,45,Personal,Economy,893
2249,Female,Loyal,46,Personal,Economy,4308
2256,Female,Loyal,65,Personal,Economy Plus,299
2257,Female,Loyal,27,Personal,Economy,1029
2266,Male,Loyal,45,Personal,Economy Plus,873
2267,Female,Loyal,23,Personal,Economy,830
2271,Male,Loyal,27,Business,Economy,2885
2274,Female,Loyal,12,Personal,Economy Plus,1431
2278,Male,Loyal,13,Business,Business,4161
2280,Male,Loyal,84,Personal,Economy,3530
2283,Female,Loyal,21,Personal,Economy Plus,4771
2285,Female,Loyal,9,Personal,Economy,216
2294,Female,Disloyal,44,Business,Economy,733
2299,Female,Loyal,59,Personal,Economy,1548
2302,Male,Loyal,61,Personal,Economy Plus,3232
2311,Female,Loyal,51,Personal,Economy,608
2313,Male,Disloyal,24,Business,Economy Plus,905
2317,Female,Loyal,55,Business,Economy,3509
2319,Male,Disloyal,69,Business,Business,4848
2330,Male,Disloyal,40,Personal,Economy,3392
2334,Male,Disloyal,56,Business,Economy Plus,710
2336,Male,Disloyal,59,Personal,Economy,2369
2342,Male,Loyal,44,Personal,Economy,4301
2356,Female,Disloyal,31,Personal,Economy Plus,625
2361,Female,Loyal,42,Personal,Economy,379
2365,Female,Loyal,18,Personal,Economy,1125
2366,Male,Disloyal,10,Personal,Economy,4734
2373,Female,Disloyal,84,Personal,Economy,2203
2376,Female,Loyal,84,Business,Economy Plus,817
2383,Male,Disloyal,83,Personal,Economy,4559
2389,Female,Loyal,81,Personal,Business,4484
2393,Male,Loyal,49,Personal,Economy,4499
2394,Female,Loyal,60,Business,Economy,109
2395,Female,Loyal,21,Personal,Economy,3736
2399,Male,Loyal,61,Personal,Economy Plus,4754
2400,Female,Loyal,47,Business,Business,3085
2407,Female,Loyal,31,Business,Economy Plus,1017
2409,Male,Disloyal,14,Business,Economy Plus,2136
2412,Female,Loyal,26,Personal,Economy,1501
2417,Male,Loyal,57,Personal,Economy,4964
2418,Male,Disloyal,14,Personal,Business,2790
2420,Female,Disloyal,46,Personal,Economy,3569
2422,Female,Loyal,49,Personal,Economy,78
2427,Male,Loyal,78,Personal,Economy,4477
2434,Male,Loyal,80,Business,Economy,2198
2437,Male,Disloyal,40,Personal,Economy Plus,160
2438,Female,Loyal,36,Business,Economy,1039
2443,Male,Loyal,74,Business,Economy Plus,3727
2449,Female,Loyal,11,Personal,Economy Plus,2176
2452,Female,Loyal,63,Personal,Business,2246
2456,Female,Loyal,75,Personal,Economy Plus,233
2458,Male,Disloyal,20,Personal,Economy,632
2460,Male,Loyal,56,Business,Business,4822
2465,Male,Loyal,23,Personal,Economy,1896
2468,Male,Loyal,30,Personal,Economy,3029
2472,Female,Disloyal,21,Personal,Economy,1382
2475,Male,Loyal,58,Personal,Economy,1128
2477,Female,Loyal,26,Personal,Economy Plus,785
2487,Female,Loyal,58,Personal,Economy,630
2491,Male,Loyal,18,Personal,Economy,3294
2493,Male,Loyal,69,Business,Economy Plus,4529
2501,Male,Loyal,24,Personal,Business,3185
2513,Female,Disloyal,33,Personal,Business,2299
2522,Male,Loyal,12,Personal,Economy,3755
2527,Male,Loyal,31,Personal,Economy Plus,2043
2530,Female,Disloyal,48,Business,Economy,883
2537,Male,Loyal,59,Business,Economy,2381
2538,Male,Loyal,65,Personal,Economy,299
2540,Male,Loyal,22,Personal,Economy,1827
2542,Female,Loyal,70,Personal,Economy,1048
2552,Female,Disloyal,19,Personal,Economy,75
2567,Female,Loyal,35,Personal,Business,1660
2568,Female,Loyal,55,Personal,Economy,137
2570,Male,Loyal,65,Business,Economy,2351
2581,Male,Disloyal,34,Personal,Economy,587
2583,Male,Loyal,15,Personal,Economy,4716
2593,Female,Loyal,25,Business,Economy,4380
2596,Female,Loyal,38,Personal,Economy Plus,4757
2601,Female,Loyal,8,Business,Economy Plus,2125
2621,Male,Loyal,59,Business,Economy Plus,324
2638,Male,Disloyal,11,Personal,Economy Plus,3291
2642,Male,Disloyal,67,Personal,Economy Plus,2451
2643,Male,Loyal,36,Personal,Economy Plus,4959
2644,Female,Loyal,7,Personal,Economy,3424
2651,Female,Loyal,57,Personal,Economy,4845
2655,Male,Disloyal,11,Personal,Economy,1088
2658,Female,Loyal,75,Personal,Economy,3096
2659,Female,Disloyal,8,Business,Economy,4178
2665,Female,Loyal,64,Business,Economy,4116
2666,Male,Disloyal,36,Personal,Economy,3062
2670,Male,Loyal,70,Personal,Economy,4625
2676,Male,Loyal,69,Personal,Economy,78
2679,Female,Loyal,78,Personal,Economy Plus,2650
2680,Female,Loyal,80,Business,Economy Plus,2251
2683,Female,Loyal,39,Personal,Economy,2852
2688,Male,Loyal,24,Business,Economy Plus,1429
2689,Male,Loyal,83,Business,Economy,1376
2691,Female,Loyal,83,Personal,Economy,3555
2692,Female,Loyal,42,Personal,Economy Plus,940
2696,Female,Loyal,44,Personal,Economy,2135
2700,Male,Loyal,61,Business,Economy,1340
2707,Male,Loyal,64,Personal,Business,4474
2711,Male,Loyal,60,Personal,Business,2705
2713,Male,Loyal,84,Personal,Economy,4475
2717,Male,Loyal,58,Personal,Economy,859
2722,Male,Loyal,51,Personal,Economy,3077
2738,Male,Loyal,62,Business,Economy Plus,1464
2741,Male,Loyal,55,Business,Business,1349
2743,Male,Loyal,49,Personal,Business,2548
2747,Male,Loyal,46,Business,Economy Plus,2428
2748,Female,Loyal,78,Business,Economy,2844
2749,Male,Loyal,27,Personal,Economy,3235
2754,Male,Disloyal,79,Personal,Economy,1080
2766,Female,Loyal,14,Personal,Economy Plus,1066
2767,Male,Disloyal,48,Personal,Economy Plus,3898
2771,Male,Loyal,36,Personal,Economy,3677
2777,Male,Loyal,76,Personal,Economy,1034
2783,Female,Disloyal,75,Personal,Economy,3014
2787,Female,Loyal,38,Personal,Economy,4316
2789,Female,Loyal,56,Personal,Economy,4146
2790,Male,Loyal,48,Personal,Economy Plus,3887
2792,Female,Loyal,14,Personal,Economy,2724
2794,Female,Loyal,13,Business,Economy,1031
